,,,Value,Symbol
Paraguay,Desalinated water produced,0,8e-06,I
Paraguay,Produced municipal wastewater,4,0.2048,I
Peru,Desalinated water produced,3,0.0054,I
Peru,Direct use of treated municipal wastewater,8,0.0303,
Peru,Produced municipal wastewater,11,0.995,I
Peru,Collected municipal wastewater,14,0.655,I
Peru,Not treated municipal wastewater,17,0.7339,I
Peru,Treated municipal wastewater,22,0.275,
Peru,Not treated municipal wastewater discharged (secondary water),29,0.089,I
Philippines,Produced municipal wastewater,0,1.259,I
Poland,Desalinated water produced,3,0.007,I
Poland,Direct use of treated municipal wastewater,8,0.003,I
Poland,Produced municipal wastewater,11,2.199,
Poland,Collected municipal wastewater,14,2.089,I
Poland,Not treated municipal wastewater,17,0.915,I
Poland,Treated municipal wastewater,20,1.3163333333,I
Portugal,Desalinated water produced,3,0.0023388889,I
Portugal,Direct use of treated municipal wastewater,6,0.003,I
Portugal,Produced municipal wastewater,9,0.577,I
Portugal,Collected municipal wastewater,12,0.61026,I
Portugal,Not treated municipal wastewater,13,0.307,I
Portugal,Treated municipal wastewater,16,0.27,I
Qatar,Desalinated water produced,3,0.41905,I
Qatar,Direct use of treated municipal wastewater,8,0.0744166667,I
Qatar,Produced municipal wastewater,14,0.274,I
Qatar,Treated municipal wastewater,19,0.117,
Qatar,Treated municipal wastewater discharged (secondary water),23,0.013,
Republic of Korea,Desalinated water produced,2,0.0002,I
Republic of Korea,Direct use of treated municipal wastewater,6,0.8000090909,I
Republic of Korea,Produced municipal wastewater,11,7.838,I
Republic of Korea,Not treated municipal wastewater,14,1.255,I
Republic of Korea,Treated municipal wastewater,20,6.583,I
Republic of Moldova,Treated municipal wastewater,5,0.296,I
Republic of Serbia,Produced municipal wastewater,1,0.46,
Romania,Produced municipal wastewater,1,4.982,
Romania,Not treated municipal wastewater,3,5.253,I
Romania,Treated municipal wastewater,6,0.5756,I
Russian Federation,Produced municipal wastewater,0,12.32,I
Saint Kitts and Nevis,Desalinated water produced,1,0.0033,E
Saudi Arabia,Desalinated water produced,3,1.545,
Saudi Arabia,Direct use of treated municipal wastewater,9,0.194,
Saudi Arabia,Produced municipal wastewater,14,1.546,I
Saudi Arabia,Collected municipal wastewater,17,1.144,I
Saudi Arabia,Not treated municipal wastewater,22,0.483,I
Saudi Arabia,Treated municipal wastewater,28,1.274,
Saudi Arabia,Treated municipal wastewater discharged (secondary water),32,0.06,I
Senegal,Desalinated water produced,3,5e-05,I
Senegal,Produced municipal wastewater,6,0.0696,I
Senegal,Not treated municipal wastewater,9,0.0588,I
Senegal,Treated municipal wastewater,15,0.0112,I
Seychelles,Desalinated water produced,1,0.001,I
Seychelles,Direct use of treated municipal wastewater,5,6e-06,I
Seychelles,Produced municipal wastewater,11,0.0088,I
Singapore,Desalinated water produced,3,0.0072,I
Singapore,Direct use of treated municipal wastewater,8,0.194,I
Slovakia,Produced municipal wastewater,1,0.599,
Slovenia,Produced municipal wastewater,1,0.201,
Slovenia,Not treated municipal wastewater,4,0.0464,I
Slovenia,Treated municipal wastewater,8,0.1029,I
Somalia,Desalinated water produced,3,0.0001,I
Somalia,Treated municipal wastewater,7,0.0,I
South Africa,Desalinated water produced,3,0.018,I
South Africa,Direct use of treated municipal wastewater,8,1.61,I
South Africa,Produced municipal wastewater,14,3.168,I
South Africa,Collected municipal wastewater,16,2.769,I
South Africa,Not treated municipal wastewater,21,1.623,I
South Africa,Treated municipal wastewater,26,2.0126666667,I
South Africa,Treated municipal wastewater discharged (secondary water),30,0.309,I
Spain,Desalinated water produced,3,0.2607333333,I
Spain,Direct use of treated municipal wastewater,8,0.5215,I
Spain,Produced municipal wastewater,10,5.1166,I
Spain,Not treated municipal wastewater,14,0.023,I
Spain,Treated municipal wastewater,19,4.5856,I
Spain,Treated municipal wastewater discharged (secondary water),21,2.767,I
Sri Lanka,Produced municipal wastewater,2,0.1181,I
Sudan,Produced municipal wastewater,0,0.4797,I
Sweden,Desalinated water produced,3,0.0002,I
Sweden,Produced municipal wastewater,6,0.7806666667,I
Sweden,Not treated municipal wastewater,11,0.235,I
Sweden,Treated municipal wastewater,14,0.624,I
Switzerland,Produced municipal wastewater,3,1.409,I
Switzerland,Collected municipal wastewater,6,1.409,I
Switzerland,Not treated municipal wastewater,9,0.325,I
Switzerland,Treated municipal wastewater,12,1.084,I
Syrian Arab Republic,Direct use of treated municipal wastewater,1,0.55,
Syrian Arab Republic,Produced municipal wastewater,7,1.37,
Syrian Arab Republic,Treated municipal wastewater,16,0.55,
Syrian Arab Republic,Not treated municipal wastewater discharged (secondary water),21,0.311,I
Syrian Arab Republic,Direct use of not treated municipal wastewater for irrigation purposes,24,0.416,I
Tajikistan,Desalinated water produced,1,0.0,I
Tajikistan,Direct use of treated municipal wastewater,5,0.0,I
Tajikistan,Produced municipal wastewater,11,2.2085714286,I
