,,Year,Value,Symbol
Total internal renewable water resources per capita,Azerbaijan,2007,930.1666631707,E
Total internal renewable water resources per capita,Azerbaijan,2012,875.9060743735,E
Total internal renewable water resources per capita,Azerbaijan,2017,824.2494911288,E
Total internal renewable water resources per capita,Azerbaijan,2018,815.6158422246,E
Total renewable surface water,Azerbaijan,1997,32.515,E
Total renewable surface water,Azerbaijan,2002,32.515,E
Total renewable surface water,Azerbaijan,2007,32.515,E
Total renewable surface water,Azerbaijan,2012,32.515,E
Total renewable surface water,Azerbaijan,2017,32.515,E
Total renewable surface water,Azerbaijan,2018,32.515,E
Total renewable groundwater,Azerbaijan,1997,6.51,E
Total renewable groundwater,Azerbaijan,2002,6.51,E
Total renewable groundwater,Azerbaijan,2007,6.51,E
Total renewable groundwater,Azerbaijan,2012,6.51,E
Total renewable groundwater,Azerbaijan,2017,6.51,E
Total renewable groundwater,Azerbaijan,2018,6.51,E
Water resources: total external renewable,Azerbaijan,1997,26.56,E
Water resources: total external renewable,Azerbaijan,2002,26.56,E
Water resources: total external renewable,Azerbaijan,2007,26.56,E
Water resources: total external renewable,Azerbaijan,2012,26.56,E
Water resources: total external renewable,Azerbaijan,2017,26.56,E
Water resources: total external renewable,Azerbaijan,2018,26.56,E
Total renewable water resources,Azerbaijan,1997,34.675,E
Total renewable water resources,Azerbaijan,2002,34.675,E
Total renewable water resources,Azerbaijan,2007,34.675,E
Total renewable water resources,Azerbaijan,2012,34.675,E
Total renewable water resources,Azerbaijan,2017,34.675,E
Total renewable water resources,Azerbaijan,2018,34.675,E
Total renewable water resources per capita,Azerbaijan,1997,4375.0255498969,E
Total renewable water resources per capita,Azerbaijan,2002,4189.2889275553,E
Total renewable water resources per capita,Azerbaijan,2007,3974.5568755937,E
Total renewable water resources per capita,Azerbaijan,2012,3742.7040208136,E
Total renewable water resources per capita,Azerbaijan,2017,3521.9779550081,E
Total renewable water resources per capita,Azerbaijan,2018,3485.086793486,E
Total internal renewable water resources (IRWR),Bahamas,1997,0.7,OF
Total internal renewable water resources (IRWR),Bahamas,2002,0.7,OF
Total internal renewable water resources (IRWR),Bahamas,2007,0.7,OF
Total internal renewable water resources (IRWR),Bahamas,2012,0.7,OF
Total internal renewable water resources (IRWR),Bahamas,2017,0.7,OF
